Sr.,Category,HS Code,Product,Verity,Summary,Short specs,Long Specs
452,Fruits,80720,Fresh Papaya,Hybrid Varieties,The Hybrid Varieties of Fresh Papaya are produced in the regions of Mexico and Brazil. This fruit is seasonally available in the months of June and July. The fruit likeness among consumers is that of a pear. Other exciting features of the fruit include its sweetness and versatility.,"Size: 7-20 cm, Shape: oval or round, Skin Color: green, yellow, or pink, Flesh Color: pink, orange, or yellow, Texture: soft and mush","Size: 7-20 cm, Shape: oval or round, Skin Color: green, yellow, or pink, Flesh Color: pink, orange, or yellow, Texture: soft and mush,Scientific name: Carica papaya, Origin: Mexico, TSS value: 10-12, Acidity: 0.4-0.6, Taste: SweetSeed: White, Ripening Season: March-April, Nutritional Value: Vitamin C, Vitamin A, Potassium, Shelf life: 5-7 days"
453,Fruits,80720,Fresh Papaya,Tainung,"The Tainung papaya is a variety of papaya that is native to Taiwan. The fruit is small and round, with a yellow-orange skin and a pink flesh. The Tainung papaya is sweet and juicy, with a slightly musky flavor. The fruit is typically eaten fresh, or made into juices or jams.","Size: 8-10 inches, Shape: Pear-shaped, Skin Color: Green, Flesh Color: Pinkish-orange, Texture: Smooth, Weight: 12 ounces","Size: 8-10 inches, Shape: Pear-shaped, Skin Color: Green, Flesh Color: Pinkish-orange, Texture: Smooth, Weight: 12 ounces,Scientific name: Carica papaya, Origin: Mexico, TSS value: 8-11%, Acidity: 0.8-1.2%, Taste: Sweet, musky. Seed: Black or white, Ripening Season: Summer, Nutritional Value: Vitamin C, beta-carotene, folate, fiber,Shelf life: 3-5 days"
456,Fruits,81190,Fresh Passionfruit,Improved Varieties,"Passionfruit is a delicious, sweet and tangy fruit that is native to Brazil. It is a small, round fruit with a purple or yellow skin and a juicy, fleshy interior with black seeds. Passionfruit is a popular fruit worldwide and is often used in desserts, juices and cocktails.","Size: 25-75mm,Shape: Ovoid or spherical,Skin Color: Purple to dark brown,Flesh Color: Creamy white to yellow,Texture: Pulpy","Size: 25-75mm,Shape: Ovoid or spherical,Skin Color: Purple to dark brown,Flesh Color: Creamy white to yellow,Texture: Pulpy,Scientific name: Passiflora edulis, Origin: South America, TSS value: 15-20%, Acidity: 5-7%, Taste: Sweet and tangy, Seed: 1-2%, Ripening Season: Late spring to early summer, Nutritional Value: Vitamin C, fiber, Shelf life: 3-5 days"
457,Fruits,81190,Fresh Passionfruit,Banana,The Fresh Passionfruit Banana is a variety of banana that is grown in the passionfruit region of Brazil. This banana is known for its sweetness and its unique flavor. The Fresh Passionfruit Banana is a great fruit to eat fresh or to use in recipes.,"Size: 20 cm, Shape: oval, Skin Color: yellow, Flesh Color: yellow, Texture: smooth, Weight: 100 grams","Size: 20 cm, Shape: oval, Skin Color: yellow, Flesh Color: yellow, Texture: smooth, Weight: 100 grams,Scientific name: Passiflora edulis, Origin: Brazil, TSS value: 8-9%, Acidity: 0.8-1.2%, Taste: Sweet and sour, Seed: 5-10 seeds, Ripening Season: Summer, Nutritional Value: Vitamin C, antioxidants, Shelf life: 2-3 days"
458,Fruits,80830,Fresh Pear,Conference,"The Conference Pear is a variety of pear that is grown in Europe, specifically in France and Belgium. The Conference Pear is a large pear, with a long, narrow body and a large stalk. The skin of the Conference Pear is smooth and yellow, with a red flush on the side that is exposed to the sun. The flesh of the Conference Pear is white, juicy, and sweet, with a slightly grainy texture. The Conference Pear is a late-season pear, and is typically harvested in October.","Size: 8-9 cm, Shape: Oblong , Skin Color: Green , Flesh Color: White , Texture: Juicy and Crisp, Weight: 100-120 grams","Size: 8-9 cm, Shape: Oblong , Skin Color: Green , Flesh Color: White , Texture: Juicy and Crisp, Weight: 100-120 grams,Scientific name: Pyrus communis, Origin: Belgium, France, TSS value: 17-19%, Acidity: 0.8-1%, Taste: sweet, Seed: one to three words maximum, Ripening Season: late August to early September, Nutritional Value: vitamin C, fiber, Shelf life: one to two weeks"
461,Fruits,80830,Fresh Pear,Santa Maria,"The Santa Maria pear is a large, round pear with a smooth, green skin. It is grown in California and is available from late summer to early winter. Santa Maria pears are similar in taste and texture to other pear varieties, but are firmer and have a higher sugar content.","Size: 7-9 cm, Shape: Oblong, Skin Color: Green, Flesh Color: White, Texture: Juicy, Weight: 200 grams","Size: 7-9 cm, Shape: Oblong, Skin Color: Green, Flesh Color: White, Texture: Juicy, Weight: 200 grams,Scientific name: Pyrus communis 'Santa Maria', Origin: France, TSS value: 17.5–19.5%, Acidity: 0.8–1.2%, Taste: Sweet, Seed: Small, Ripening Season: August–September, Nutritional Value: Vitamin C, dietary fiber, Shelf life: 2–3 days"
465,Fruits,80830,Fresh Pear,Beurre Bosc,"The Beurre Bosc Pear is a large, brown pear with a textured skin. This pear is grown in France and is available in the fall and winter months. The Beurre Bosc Pear is a sweet and juicy pear with a creamy flesh.","Size: 75-95 mm, Shape: oval with a bulbous base and a long neck, Skin Color: green with russetting around the stem, Flesh Color: white, Texture","Size: 75-95 mm, Shape: oval with a bulbous base and a long neck, Skin Color: green with russetting around the stem, Flesh Color: white, ,Texture,Scientific name: Pyrus communis, Origin: France, TSS value: 10-11%, Acidity: 0.9%, Taste: Slightly sweet, Seed: Yes, Ripening Season: Mid to late September, Nutritional Value: Rich in Vitamin C, Shelf life: 7-10 days"
466,Fruits,80830,Fresh Pear,Bartlett,"A bartlett pear is a round, plump pear with a smooth, yellow-green skin and a sweet, white flesh. The bartlett is the most popular variety of pear in the United States. Bartlett pears are grown in California, Oregon, and Washington. They are in season from August to October.","Size: 10-12 cm, Shape: Oblate, Skin Color: Green, Flesh Color: White, Texture: Crisp and Juicy, Weight: 100-120 g","Size: 10-12 cm, Shape: Oblate, Skin Color: Green, Flesh Color: White, Texture: Crisp and Juicy, Weight: 100-120 g,Scientific name: Pyrus communis, Origin: France , TSS value: 8-11%, Acidity: 0.4-0.6%, Taste: Sweet, Seed: Central, Ripening Season: Late-August to October, Nutritional Value: Vitamin C, dietary fiber, Shelf life: 3-5 weeks"
472,Fruits,80830,Fresh Pear,Oksana Xenia,"Unlike other pear varieties, the Oksana Xenia pear is round and uniform in shape. It is a popular pear in Russia and Ukraine and is known for its sweetness and juiciness. The pear is in season from September to October.","Size: 200-300 grams, Shape: Ovate, Skin Color: Yellow-green, Flesh Color: Creamy white, Texture: Juicy and crunchy, Weight: 200 grams","Size: 200-300 grams, Shape: Ovate, Skin Color: Yellow-green, Flesh Color: Creamy white, Texture: Juicy and crunchy, Weight: 200 grams,Scientific Name: Pyrus pyrifoliaOrigin: ChinaTSS value: 14-17%Acidity: 0.3-0.4%Taste: Juicy and sweetSeed: NoneRipening Season: August to OctoberNutritional Value: Vitamin C, dietary fiber, potassiumShelf life: 2-3 weeks"
473,Fruits,80830,Fresh Pear,Ankara,"This pear is called Ankara and it is a variety of the fruit. It is grown in Turkey and is a very popular type of pear there. It is a round fruit with a smooth, yellow-green skin. The flesh is white and crisp, with a sweet taste.","Size: 2.5 inches, Shape: oval, Skin Color: light green, Flesh Color: white, Texture: crisp, Weight: 50 grams","Size: 2.5 inches, Shape: oval, Skin Color: light green, Flesh Color: white, Texture: crisp, Weight: 50 grams,Scientific name: Pyrus communis, Origin: Turkey, TSS value: 4-6%, Acidity: 0.3-0.5%, Taste: sweet, Seed: edible, Ripening Season: August to October, Nutritional Value: vitamins A, B, and C, Shelf life: up to 2 months"
481,Fruits,80430,Fresh Pineapple,Queen Victoria,"This fruit is a refreshing, juicy and sweet treat that is loved by many. The Queen Victoria pineapple is a variety that is grown in many regions across the world and is available all year round. This fruit is a great addition to any meal or can be enjoyed on its own as a healthy snack.","Size: 15-25 cm, Shape: cylindrical, Skin Color: yellow, Flesh Color: yellow, Texture: juicy, Weight: 500-1000 grams","Size: 15-25 cm, Shape: cylindrical, Skin Color: yellow, Flesh Color: yellow, Texture: juicy, Weight: 500-1000 grams,Scientific Name: Ananas comosus Origin: BrazilTSS value: 12 – 16%Acidity: 0.9 – 1.3% (as citric acid)Taste: Sweet, acidicSeed: NoneRipening Season: Late winter to early springNutritional value: Vitamin C, Dietary fiber, ManganeseShelf life: 7-14 days"
485,Fruits,80390,Fresh Plantain,Macho,"This fruit is large and starchy, with a thick skin that is usually green or yellow when ripe. Plantains are a staple food in many tropical and subtropical regions, and can be cooked in many different ways. They are often used as a substitute for potatoes.","Size: 8-10 inches, Shape: long and curved, Skin Color: yellow or green, Flesh Color: yellow or white, Texture: firm and starchy, Weight: 200 g","Size: 8-10 inches, Shape: long and curved, Skin Color: yellow or green, Flesh Color: yellow or white, Texture: firm and starchy, Weight: 200 g,Scientific name: Musa paradisiaca, Origin:tropical America, TSS value: 12-20%, Acidity: 5-7%, Taste: sweet, Seed: large, Nutrition: good source of dietary fiber and vitamins A and C, Shelf Life: 2-3 days."
487,Fruits,80390,Fresh Plantain,Nendran,"Nendran is a type of banana that is popular in South India. It is characterized by its long, slender shape and its bright yellow color. Nendran bananas are typically harvested during the summer months.","Size: 18 - 20 cm, Shape: Curved, Skin Color: Green, Flesh Color: Yellow, Texture: Starchy, Weight: 400 - 500 g","Size: 18 - 20 cm, Shape: Curved, Skin Color: Green, Flesh Color: Yellow, Texture: Starchy, Weight: 400 - 500 g,Scientific name: Musa paradisiaca, Origin: India, TSS value: 20%, Acidity: 1.5%, Taste: sweet, Seed: large, Ripening Season: all year, Nutritional Value: vitamins A, B, and C, Shelf life: 1-2 weeks"
490,Fruits,80390,Fresh Plantain,Horn Banana,"A plantain is a type of banana that is often used as a vegetable. It is longer and thicker than a regular banana and has a green, yellow, or brown skin. Plantains are a common ingredient in Caribbean and Latin American dishes.","Size: 20-30cm, Shape: Curved, Skin Color: Green/Yellow/Brown, Flesh Color: White/Yellow, Texture: Soft, Sticky, Weight: 200 g","Size: 20-30cm, Shape: Curved, Skin Color: Green/Yellow/Brown, Flesh Color: White/Yellow, Texture: Soft, Sticky, Weight: 200 g,Scientific name: Musa Acuminata, Origin: Thailand, TSS value: 18-20%, Acidity: 0.5-0.7%, Taste: Sweet, Seed: 1-7, Ripening Season: March-May, Nutritional Value: Vitamin A, Vitamin C, Shelf life: 2-3 days"
491,Fruits,81190,Fresh Pomegranate,Smith,A Fresh Pomegranate variety Smith is a fruit that is grown in the Smith region. This fruit is known for its sweetness and is loved by many people. The Fresh Pomegranate variety Smith is also known for its juicy flesh and its many seeds.,"Size: 6-8 cm, Shape: spherical, Skin Color: red, Flesh Color: red, Texture: juicy, Weight: 250-280 g","Size: 6-8 cm, Shape: spherical, Skin Color: red, Flesh Color: red, Texture: juicy, Weight: 250-280 g,Scientific name: Punica granatumOrigin: IranTSS value: 15-17%Acidity: 2-5%Taste: Tart, SweetSeed: ArilRipening Season: September-NovemberNutritional Value: Vitamin C, Vitamin B5, FolateShelf life: 2-3 weeks"
500,Fruits,81190,Fresh Pomegranate,Emerald,"Fresh PomegranateThis fruit is known for its juicy, red seeds that are bursting with flavor. Pomegranates are grown in many regions of the world and are available fresh during the fall and winter months. This variety, Emerald, is a newer, sweeter type of pomegranate that is becoming more popular with consumers.","Size: 2-3 inches, Shape: Round, Skin Color: Red, Flesh Color: Pink, Texture: Juicy, Seed: crunchy, Weight: 400-600 grams.","Size: 2-3 inches, Shape: Round, Skin Color: Red, Flesh Color: Pink, Texture: Juicy, Seed: crunchy, Weight: 400-600 grams.,Scientific name: Punica granatumOrigin: IranTSS value: 6-8%Acidity: 0.5-0.8%Taste: Sweet and SourSeed: edibleRipening Season: September to OctoberNutritional Value: Rich in Vitamin CShelf life: 3-4 weeks"
501,Fruits,81190,Fresh Pomegranate,Desi,"A pomegranate is a red fruit that is about the size of an apple with a thick, leathery skin. Inside the pomegranate are hundreds of seeds that are surrounded by a juicy, red pulp. Pomegranates are native to the Middle East and have been cultivated for thousands of years.","Size: 2-3 inches, Shape: spherical, Skin Color: red, Flesh Color: red, Texture: juicy, Weight: 200-250 grams","Size: 2-3 inches, Shape: spherical, Skin Color: red, Flesh Color: red, Texture: juicy, Weight: 200-250 grams,Scientific Name: Punica granatumOrigin: India TSS value: 18-22%, Acidity: 0.5-0.8%, Taste: Sour and Sweet, Seed: 2-3%, Ripening Season: August-October, Nutritional Value: Vitamin C, Vitamin B, Folic acid, Shelf life: 2-3 days"
502,Fruits,81190,Fresh Pomegranate,Badana,"Delicious and nutritious, pomegranates are a popular fruit enjoyed around the world. This variety, known as Badana, is typically round with a deep red interior and is grown in regions with warm climates. Pomegranates are an excellent source of vitamins and antioxidants, making them a great addition to any diet.","Size: 45-60 mm , Shape: Ovoid , Skin Color: Red , Flesh Color: Red , Texture: Juicy, Seedless, Weight: 100-180 g","Size: 45-60 mm , Shape: Ovoid , Skin Color: Red , Flesh Color: Red , Texture: Juicy, ,Seedless, Weight: 100-180 g,Scientific name: Punica granatum. It is native to the Middle East and has been cultivated in the Mediterranean region for thousands of years. The Badana variety of pomegranate has a ,TSS value of 12-14%, an acidity of 2-3%, and a taste that is slightly tart and sweet. The seeds are edible and have a crunchy texture. The ripening season for Badana pomegranates is from September to October. Nut"
505,Fruits,81190,Fresh Pomegranate,Bhagwa,The Fresh Pomegranate variety Bhagwa has a deep red color and is grown in the Indian state of Maharashtra. This fruit is in season from October to December. Bhagwa is a popular variety among consumers for its sweetness and juiciness.,"Size: 2.5 inches, Shape: spherical, Skin Color: reddish-brown, Flesh Color: crimson, Texture: juicy, slightly acidic, Weight: 182 grams","Size: 2.5 inches, Shape: spherical, Skin Color: reddish-brown, Flesh Color: crimson, Texture: juicy, slightly acidic, Weight: 182 grams,Scientific name: Punica granatum, Origin: India , TSS value: 7%, Acidity: 0.38%, Taste: Sweet, Seed: edible, Ripening Season: November to February, Nutritional Value: Vitamin C, Shelf life: 2-3 weeks"
506,Fruits,81190,Fresh Pomegranate,Pat's Red,A pomegranate is a fruit-bearing deciduous shrub or small tree in the family Lythraceae. Pomegranates are native to the region from the Himalayas to northwestern India and have been cultivated and naturalized throughout the Mediterranean region since ancient times. The fruit is typically in season from October to February.,"Size: 2.5 inches, Shape: spherical, Skin Color: red, Flesh Color: red, Texture: chewy,Weight: 50 grams","Size: 2.5 inches, Shape: spherical, Skin Color: red, Flesh Color: red, Texture: chewy,Weight: 50 grams,Scientific Name: Punica granatum, Origin: India, TSS: 17-21%, Acidity: 0.5-0.7%, Taste: Sweet and Sour, Seed: edible, Ripening Season: September-October, Nutritional Value: Vitamin C, Potassium, Shelf life: 3-4 days"
512,Fruits,81190,Fresh Pomegranate,Mollar de Elche,The Mollar de Elche variety of pomegranate is native to the Elche region of Spain. This variety is prized for its large size and sweet flavor. The fruit is in season from October to January.,"Size: 2.5 to 3 inches, Shape: egg-shaped, Skin Color: pale green, Flesh Color: red, seeds are white, Texture: crisp, juicy","Size: 2.5 to 3 inches, Shape: egg-shaped, Skin Color: pale green, Flesh Color: red, seeds are white, Texture: crisp, juicy,Scientific name: Punica granatum, Origin: Spain, TSS value: 12-14%, Acidity: 5-6%, Taste: Tart, sweet, Seed: 40-60 seeds, Ripening Season: October to February, Nutritional Value: High in vitamins C and K, antioxidants, Shelf life: 2-3 months"
513,Fruits,80540,Fresh Pomelo,Tongdee,"The Fresh Pomelo Variety Tongdee is a citrus fruit that is native to Southeast Asia. It is considered to be a cross between a grapefruit and a orange. The Fresh Pomelo Variety Tongdee is a large citrus fruit that can weigh up to 10 pounds. The skin of the Fresh Pomelo Variety Tongdee is thick and yellow-green in color. The flesh of the fruit is pink and has a sweet, juicy flavor. The Fresh Pomelo Variety Tongdee is in season from October to February.","Size: 1.5 kg, Shape: oval, Skin Color: pale green, Flesh Color: pale pink, Texture: juicy, seeds, Weight: 1.5 kg","Size: 1.5 kg, Shape: oval, Skin Color: pale green, Flesh Color: pale pink, Texture: juicy, seeds, Weight: 1.5 kg,Scientific name: Citrus maxima, Origin: Thailand, TSS value: 12%, Acidity: 0.5%, Taste: Sweet and sour, Seed: 1-2%, Ripening Season: October-November, Nutritional Value: Vitamin C, Shelf life: 2-3 weeks"
514,Fruits,80540,Fresh Pomelo,Shatianyou,This is a variety of pomelo that is grown in the Shatian region of China. The fruit is very large and has a thick rind. The flesh is very sweet and juicy. This fruit is very popular among Chinese consumers.,"Size: 12 cm, Shape: round, Skin Color: green-yellow, Flesh Color: pink-white, Texture: crisp, juicy, Weight: 800 g","Size: 12 cm, Shape: round, Skin Color: green-yellow, Flesh Color: pink-white, Texture: crisp, juicy, Weight: 800 g,Scientific name: Citrus maxima, Origin: China, TSS value: 10-11%, Acidity: 0.6-0.8%, Taste: Sweet and sour, Seed: 1-2%, Ripening Season: October to February, Nutritional Value: Vitamin C, Shelf life: 7-10 days"
516,Fruits,80540,Fresh Pomelo,Ruby & Red Varieties - Unspecified,A pomelo is a large citrus fruit that is similar in appearance to a grapefruit. The pomelo is native to Southeast Asia and is the largest member of the citrus family. The fruit is usually eaten fresh or made into juices and other beverages.,"Size: 10-12 cm, Shape: Globular , Skin Color: Green-yellow, Flesh Color: Pink, Texture: Juicy, Weight: 500-600 g","Size: 10-12 cm, Shape: Globular , Skin Color: Green-yellow, Flesh Color: Pink, Texture: Juicy, Weight: 500-600 g,Scientific name: Citrus maxima,Origin: Southeast Asia, TSS value: 10-11%, Acidity: 0.6-1.2%, Taste: Sweet and sour, Seed: 1-5, Ripening Season: October to February, Nutritional Value: Vitamin C, flavonoids, Shelf life: 3-4 weeks"
519,Fruits,80540,Fresh Pomelo,Khao Yai,The Fresh Pomelo variety Khao Yai is a type of citrus fruit that is grown in Thailand. This fruit is in season during the winter months and is liked by many for its sweet taste. Some of the other exciting features of this fruit include its large size and its thick skin.,"Size: 8-10 cm, Shape: round-oval, Skin Color: yellow-green, Flesh Color: pink-white, Texture: juicy, slightly acidic, Weight: 200 g","Size: 8-10 cm, Shape: round-oval, Skin Color: yellow-green, Flesh Color: pink-white, Texture: juicy, slightly acidic, Weight: 200 g,Scientific name: Citrus maximaOrigin: ThailandTSS value: 10-11Acidity: 0.75Taste: SweetSeed: 2-3Ripening Season: October to NovemberNutritional Value: Vitamin C, caroteneShelf life: 45 days"
523,Fruits,80540,Fresh Pomelo,Kawachi Bankan,The Kawachi Bankan variety of Fresh Pomelo is grown in the Kawachi region of Japan. This variety is considered to be the best tasting of all the Pomelo varieties. The fruit is large and round with a thin yellow skin. The flesh is pink and juicy with a sweet and tangy flavor.,"Size: 18 cm, Shape: spherical, Skin Color: pale yellow, Flesh Color: pink, Texture: juicy, slightly acidic, Weight: 400 grams","Size: 18 cm, Shape: spherical, Skin Color: pale yellow, Flesh Color: pink, Texture: juicy, slightly acidic, Weight: 400 grams,Scientific name: Citrus maxima, Origin: Bankan, TSS value: 15-20, Acidity: 0.8-2.0, Taste: Sweet, Seed: Big, Ripening Season: January-March, Vitamin C, Shelf Life:3-5 days"
528,Fruits,80540,Fresh Pomelo,Ruby Varieties,The Ruby Pomelo is a hybrid citrus fruit that is a cross between a grapefruit and a pomelo. It is a relatively new fruit that was first developed in China in the late 1980s. The Ruby Pomelo is typically larger than a grapefruit and has a reddish-pink skin. The flesh of the fruit is pink or red and is very juicy. The Ruby Pomelo is sweet with a slightly tart flavor. It is a seasonal fruit that is available from October to December.,"Size: 15-20 cm, Shape: Oblate, Skin Color: Yellow-Green, Flesh Color: Pink-Red, Texture: Juicy, moderately sweet, Weight: 500 g","Size: 15-20 cm, Shape: Oblate, Skin Color: Yellow-Green, Flesh Color: Pink-Red, Texture: Juicy, moderately sweet, Weight: 500 g,Scientific name: Citrus maxima, Origin: Vietnam, TSS value: 8-11%, Acidity: 0.5-0.7%, Taste: Slightly sour, Seed: 2-3, Ripening Season: August-September, Nutritional Value: Vitamin C, Shelf life: 3-4 weeks"
529,Fruits,81190,Fresh Rambutan,R156,A Rambutan is a tropical fruit that is native to Southeast Asia. The fruit is bright red and has a hairy exterior. The flesh of the fruit is white and juicy. Rambutans are typically in season from June to August.,"Size: 2.5 - 3.5 cm, Shape: Oval, Skin Color: Reddish-Green, Flesh Color: White, Texture: Soft, delicate, and slightly sticky,","Size: 2.5 - 3.5 cm, Shape: Oval, Skin Color: Reddish-Green, Flesh Color: White, Texture: Soft, delicate, and slightly sticky,,Scientific name: Rambutan, Origin: Malaysia, TSS value: 14-18%, Acidity: 0.8-1.2%, Taste: Sweet and Sour, Seed: Rambutan seed, Ripening Season: March to August, Nutritional Value: Rich in Vitamin C, Shelf life: 3-4 days"
530,Fruits,81190,Fresh Rambutan,Thai - Rong Rieng,"The rambutan is a fruit that is native to Southeast Asia and is closely related to lychees and longans. The Thai variety of rambutan, Rong Rieng, is a large, red fruit with a hairy, spiky exterior. The flesh of the rambutan is sweet and juicy, and resembles a lychee in taste and texture. Rambutans are typically in season from June to August.","Size: 3-4 cm, Shape: oval-round, Skin Color: red, orange, or yellow, Flesh Color: white, translucent, or pink, Texture: slightly sticky","Size: 3-4 cm, Shape: oval-round, Skin Color: red, orange, or yellow, Flesh Color: white, translucent, or pink, Texture: slightly sticky,Scientific name: Nephelium lappaceum, Origin: Thailand, TSS value: 18%, Acidity: 2.9%, Taste: Sweet and sour, Seed: One to three, Ripening Season: May to September, Nutritional Value: Vitamin C, Shelf life: Three to four weeks"
531,Fruits,81190,Fresh Rambutan,R191,"A small, red fruit with a hairy exterior, rambutan is native to Southeast Asia. The juicy flesh is sweet and slightly acidic, with a flavor that has been described as a cross between a grape and a lychee. Rambutan are typically in season from May to December.","Size: 7-12 cm, Shape: oval to round, Skin Color: red, orange, or yellow, Flesh Color: white, translucent, or pink, Texture: juicy and slightly","Size: 7-12 cm, Shape: oval to round, Skin Color: red, orange, or yellow, Flesh Color: white, translucent, or pink, Texture: juicy and slightly,Scientific Name: Rambutan, Origin: Indonesia, TSS value: 17-21%, Acidity: 0.3-0.6%, Taste: Sweet, Seed: Edible, Ripening Season: Late May to early June, Nutritional Value: Vitamin C, Shelf life: 7-10 days"
532,Fruits,81190,Fresh Rambutan,Sri Chompoo,The Fresh Rambutan variety Sri Chompoo is a fruit that is native to the region of Southeast Asia. The seasonality of this fruit is typically from the months of June to August. This fruit is known for its likeness among consumers for its taste and smell. Other exciting features of this fruit include its red color and its hairy exterior.,"Size: 3-4 cm, Shape: oval, Skin Color: red, Flesh Color: white, Texture: soft and hairy, Weight: 20-30 grams","Size: 3-4 cm, Shape: oval, Skin Color: red, Flesh Color: white, Texture: soft and hairy, Weight: 20-30 grams,Scientific name: Rambutan, Origin: Malaysia, TSS value: 18-22%, Acidity: 0.5-1.5%, Taste: Sweet, Sour, Seed: 1-3, Ripening Season: October to February, Nutritional Value: Vitamin C, Iron, Potassium, Shelf life: 7-10 days"
533,Fruits,81190,Fresh Rambutan,Sri Thong,The Fresh Rambutan variety Sri Thong is a tropical fruit that is native to Southeast Asia. The fruit is reddish-brown in color and has a hairy outer shell. The flesh of the fruit is sweet and juicy. The Fresh Rambutan variety Sri Thong is available in the market from June to August.,"Size: 3-4 cm, Shape: oval, Skin Color: red, Flesh Color: white, Texture: delicate and crisp, Weight: 15-20 g","Size: 3-4 cm, Shape: oval, Skin Color: red, Flesh Color: white, Texture: delicate and crisp, Weight: 15-20 g,Scientific name: Nephelium lappaceum, Origin: Thailand, TSS value: 18-22%, Acidity: 0.8-1.5%, Taste: sour, sweet, Seed: one to three, Ripening Season: May to July, Nutritional Value: Vitamin C, Shelf life: 7-10 days"
534,Fruits,81190,Fresh Rambutan,School Boy,"The Fresh Rambutan School Boy variety is a small, red, and hairy fruit that is native to Southeast Asia. Rambutans are typically in season from June to August, and are a popular choice among consumers for their sweet and sour taste.","Size: 18-22 mm, Shape: Spherical , Skin Color: Red , Flesh Color: White , Texture: Juicy , Weight: 20-25 g","Size: 18-22 mm, Shape: Spherical , Skin Color: Red , Flesh Color: White , Texture: Juicy , Weight: 20-25 g,Scientific name: Rambutan, Origin: Malaysia, TSS value: 18-20%, Acidity: 0.6-0.8%, Taste: Sweet and sour, Seed: 1-3, Ripening Season: August to October, Nutritional Value: Vitamin C, copper, iron, Shelf life: 7-10 days"
535,Fruits,81190,Fresh Rambutan,Ngoh Rong Rian,This variety of rambutan is grown in Thailand and is in season from May to June. The Ngoh Rong Rian variety is known for its large size and bright red color. This variety of rambutan is said to have a sweet taste with a hint of sourness.,"Size: 3 cm, Shape: Spherical, Skin Color: Red, Flesh Color: White, Texture: Soft, delicate, Weight: 15 grams","Size: 3 cm, Shape: Spherical, Skin Color: Red, Flesh Color: White, Texture: Soft, delicate, Weight: 15 grams,Scientific name: Rambutan, Origin: Malaysia, TSS value: 18-22%, Acidity: 0.9-1.1%, Taste: Sweet and sour, Seed: 1-3, Ripening Season: August-September, Nutritional Value: Vitamin C, Vitamin B, Shelf life: 5-7 days"
536,Fruits,80921,Fresh Sour Cherry,Debreceni Botermo,The Debreceni Botermo is a sour cherry that is grown in Hungary. This cherry is small and round with a red color. The Debreceni Botermo is a late season cherry that is typically harvested in July. This cherry is sour and is used in pies and other desserts.,"Size: 20-22 mm, Shape: ovoid, Skin Color: deep red, Flesh Color: light red, Texture: firm, juicy, Weight: 4-5 g","Size: 20-22 mm, Shape: ovoid, Skin Color: deep red, Flesh Color: light red, Texture: firm, juicy, Weight: 4-5 g,Scientific name: Prunus cerasus, Origin: Hungary, TSS value: 17-18%, Acidity: 4.5-5%,Taste: Sour, Seed: Yes, Ripening season: Late July to early August, Nutrition: Good source of Vitamin C and antioxidants, Shelf life: 2-3 weeks."
539,Fruits,81190,Fresh Soursop,Grafted,"The Fresh Soursop variety is a grafting fruit that is produced in horizontal lines. This fruit is native to South America and is grown in tropical climates. The Fresh Soursop has a sweetness that is similar to that of a pineapple, with a sour twist. This fruit is a great addition to any fruit salad or smoothie.","Size: 20-25cm, Shape: Ovoid, Skin Color: Green, Flesh Color: White, Texture: Creamy, Weight: 400-600g","Size: 20-25cm, Shape: Ovoid, Skin Color: Green, Flesh Color: White, Texture: Creamy, Weight: 400-600g,Scienctific name: Annona muricata Origin: JamaicaTSS value: 13-17%Acidity: 0.8-1.2%Taste: Sweet, slightly acidicSeed: White, edibleRipening Season: Late summer to early fallNutritional value: Rich in Vitamin C, B vitamins, and mineralsShelf life: 7 to 10 days"
540,Fruits,81190,Fresh Soursop,Criollo,This variety of soursop is known for its sweetness and lack of sourness. It is produced in regions of South America and is available year-round. The fruit is said to resemble a cross between a pineapple and a papaya and is often used in desserts.,"Size: about 30 cm long and 20 cm in diameter, Shape: oval with sharp ends, Skin Color: green with white spots, Flesh Color: white, Texture: soft and juicy,","Size: about 30 cm long and 20 cm in diameter, Shape: oval with sharp ends, Skin Color: green with white spots, Flesh Color: white, Texture: soft and juicy,,Scientific name: Annona muricata, Origin: Caribbean, TSS value: 8-12%, Acidity: 0.48-0.78%, Taste: Sweet, Seed: Small, Ripening Season: April-September, Nutritional Value: Vitamin C, Shelf life: 3-4 days"
541,Fruits,80929,Fresh Sweet Cherry,Sweet - Lapins,"This fruit is a type of cherry that is sweet and juicy. It is grown in many regions around the world, including Europe, North America, and Asia. The Lapins variety is one of the most popular types of sweet cherries. It is known for its large size and dark red color.","Size: 18-22 mm, Shape: round, Skin Color: dark red, Flesh Color: light red, Texture: juicy, Weight: 5-7 grams","Size: 18-22 mm, Shape: round, Skin Color: dark red, Flesh Color: light red, Texture: juicy, Weight: 5-7 grams,Scientific name: Prunus avium, Origin: Europe, TSS value: 18, Acidity: 6, Taste: Sweet, Seed: Yes, Ripening Season: Late spring to early summer, Nutritional Value:Rich in Vitamin C, Shelf life: 3-5 days"
